Date,CPI,Unemployment Rate,GDP
01/12/1983,0.002967359,8.3,
01/01/1984,0.006903353,8,0.029870035
01/02/1984,0.00489716,7.8,
01/03/1984,0.002923977,7.8,
01/04/1984,0.003887269,7.7,0.025984032
01/05/1984,0.001936108,7.4,
01/06/1984,0.001932367,7.2,
01/07/1984,0.003857281,7.5,0.018617563
01/08/1984,0.002881844,7.5,
01/09/1984,0.002873563,7.3,
01/10/1984,0.003820439,7.4,0.015743649
01/11/1984,0.00190295,7.2,
01/12/1984,0.001899335,7.3,
01/01/1985,0.001895735,7.3,0.019673616
01/02/1985,0.005676443,7.2,
01/03/1985,0.004703669,7.2,
01/04/1985,0.001872659,7.3,0.015299392
01/05/1985,0.001869159,7.2,
01/06/1985,0.002798507,7.4,
01/07/1985,0.001860465,7.4,0.021394276
01/08/1985,0.00185701,7.1,
01/09/1985,0.001853568,7.1,
01/10/1985,0.003700278,7.1,0.013066781
01/11/1985,0.004608295,7,
01/12/1985,0.004587156,7,
01/01/1986,0.003652968,6.7,0.014356132
01/02/1986,-0.001819836,7.2,
01/03/1986,-0.005469462,7.2,
01/04/1986,-0.003666361,7.1,0.008306761
01/05/1986,0.00275989,7.2,
01/06/1986,0.003669725,7.2,
01/07/1986,0.000914077,7,0.013712726
01/08/1986,0.000913242,6.9,
01/09/1986,0.003649635,7,
01/10/1986,0.001818182,7,0.010842359
01/11/1986,0.001814882,6.9,
01/12/1986,0.003623188,6.6,
01/01/1987,0.005415162,6.6,0.01385448
01/02/1987,0.003590664,6.6,
01/03/1987,0.003577818,6.6,
01/04/1987,0.004456328,6.3,0.017789332
01/05/1987,0.002661934,6.3,
01/06/1987,0.004424779,6.2,
01/07/1987,0.002643172,6.1,0.016311359
01/08/1987,0.004393673,6,
01/09/1987,0.003499563,5.9,
01/10/1987,0.002615519,6,0.025271289
01/11/1987,0.003478261,5.8,
01/12/1987,0.001733102,5.7,
01/01/1988,0.003460208,5.7,0.013054728
01/02/1988,0.001724138,5.7,
01/03/1988,0.002581756,5.7,
01/04/1988,0.006008584,5.4,0.022995357
01/05/1988,0.002559727,5.6,
01/06/1988,0.004255319,5.4,
01/07/1988,0.004237288,5.4,0.017880223
01/08/1988,0.004219409,5.6,
01/09/1988,0.004201681,5.4,
01/10/1988,0.00334728,5.4,0.02208549
01/11/1988,0.003336113,5.3,
01/12/1988,0.003325021,5.3,
01/01/1989,0.004142502,5.4,0.020695215
01/02/1989,0.00330033,5.2,
01/03/1989,0.004934211,5,
01/04/1989,0.007364975,5.2,0.018364245
01/05/1989,0.004874086,5.2,
01/06/1989,0.00323363,5.3,
01/07/1989,0.003223207,5.2,0.014771055
01/08/1989,0,5.2,
01/09/1989,0.002409639,5.3,
01/10/1989,0.004807692,5.3,0.009107757
01/11/1989,0.003987241,5.4,
01/12/1989,0.003177125,5.4,
01/01/1990,0.009501188,5.4,0.021830316
01/02/1990,0.003921569,5.3,
01/03/1990,0.0046875,5.2,
01/04/1990,0.002332815,5.4,0.014869989
01/05/1990,0.00155159,5.4,
01/06/1990,0.006196747,5.2,
01/07/1990,0.004618938,5.5,0.00924291
01/08/1990,0.008429119,5.7,
01/09/1990,0.006838906,5.9,
01/10/1990,0.006792453,5.9,-0.001726151
01/11/1990,0.002248876,6.2,
01/12/1990,0.003739716,6.3,
01/01/1991,0.003725782,6.4,0.005070167
01/02/1991,0.00074239,6.6,
01/03/1991,0,6.8,
01/04/1991,0.002225519,6.7,0.015191598
01/05/1991,0.003700962,6.9,
01/06/1991,0.002949853,6.9,
01/07/1991,0.001470588,6.8,0.012906281
01/08/1991,0.002936858,6.9,
01/09/1991,0.002928258,6.9,
01/10/1991,0.001459854,7,0.009443054
01/11/1991,0.004373178,7,
01/12/1991,0.002902758,7.3,
01/01/1992,0.000723589,7.3,0.015733318
01/02/1992,0.002169197,7.4,
01/03/1992,0.003607504,7.4,
01/04/1992,0.002156722,7.4,0.016919578
01/05/1992,0.00215208,7.6,
01/06/1992,0.002863278,7.8,
01/07/1992,0.002855103,7.7,0.014817109
01/08/1992,0.002135231,7.6,
01/09/1992,0.002130682,7.6,
01/10/1992,0.004252303,7.3,0.017385144
01/11/1992,0.002822865,7.4,
01/12/1992,0.00140746,7.4,
01/01/1993,0.003513703,7.3,0.007282957
01/02/1993,0.00210084,7.1,
01/03/1993,0.001397624,7,
01/04/1993,0.003489184,7.1,0.011810756
01/05/1993,0.002781641,7.1,
01/06/1993,0.000693481,7,
01/07/1993,0.001386001,6.9,0.010744552
01/08/1993,0.002076125,6.8,
01/09/1993,0.001381215,6.7,
01/10/1993,0.004137931,6.8,0.019127888
01/11/1993,0.002747253,6.6,
