Ticker,date,ff_accr_exp,ff_assets_com_eq,ff_assets_eq,Implosion_Next_Year,CPI,Unemployment Rate,GDP
ACAXU-US,2022-11-30,0.376541,1.03952519444176,1.03952519444176,0,,,
ACB,2016-06-30,,3.19237424151688,3.19237424151688,0,,,
ACB,2017-06-30,,1.54245001171133,1.54245001171133,0,,,
ACB,2018-06-30,,1.22594251521749,1.22594251521749,0,,,
ACB,2019-06-30,61.1693131815573,1.25473904931028,1.25473904931028,1,,,
ACB-US,2019-06-30,61.1693131815573,1.25473904931028,1.25473904931028,0,,,
ACB-US,2020-06-30,48.9441997063142,1.36401702431554,1.36401702431554,0,,,
ACB-US,2021-06-30,31.5997738835501,1.3370618834961,1.3370618834961,0,,,
ACB-US,2022-06-30,41.5992867940618,1.69922625154304,1.69922625154304,0,,,
ACBA-US,2020-12-31,0.002967,4.89449641070263,4.89449641070263,0,,,
ACBA-US,2021-12-31,0.018516,,-15.2108541244142,0,,,
ACBAU-US,2020-12-31,0.002967,4.89449641070263,4.89449641070263,0,,,
ACBAU-US,2021-12-31,0.018516,,-15.2108541244142,0,,,
ACBI-US,2018-12-31,,9.13698312699094,9.13698312699094,0,,,
ACBI-US,2019-12-31,,8.93183662843229,8.93183662843229,0,,,
ACBI-US,2020-12-31,,10.7085437673147,10.7085437673147,0,,,
ACBI-US,2021-12-31,,10.2258361600223,10.2258361600223,0,,,
ACC-US,2018-12-31,,2.02204621535278,2.02204621535278,0,,,
ACC-US,2019-12-31,,2.29453639750919,2.29453639750919,0,,,
ACC-US,2020-12-31,,2.41838485765518,2.41838485765518,0,,,
ACC-US,2021-12-31,,2.42979388447599,2.42979388447599,0,,,
ACCD,2019-02-28,22.417,,-0.285151829191617,0,,,
ACCD,2020-02-29,29.906,,-0.285239198582527,0,,,
ACCD,2021-02-28,39.15,1.21661106107745,1.21661106107745,0,,,
ACCD,2022-02-28,46.199,1.50214771311788,1.50214771311788,1,,,
ACCD-US,2019-02-28,22.417,,-0.285151829191617,0,,,
ACCD-US,2020-02-29,29.906,,-0.285239198582527,0,,,
ACCD-US,2021-02-28,39.15,1.21661106107745,1.21661106107745,0,,,
ACCD-US,2022-02-28,46.199,1.50214771311788,1.50214771311788,0,,,
ACCL-US,2010-03-31,15.0,1.98835129610703,1.98835129610703,0,,,
ACCL-US,2011-12-31,33.055,1.6401778964469,1.6401778964469,0,,,
ACCL-US,2012-12-31,34.598,1.67136285576618,1.67136285576618,0,,,
ACCL-US,2013-12-31,29.658,1.58000313935096,1.58000313935096,0,,,
ACCO-US,2019-12-31,148.2,3.60423936926457,3.60423936926457,0,,,
ACCO-US,2020-12-31,132.4,4.10488757237108,4.10488757237108,0,,,
ACCO-US,2021-12-31,158.3,3.57458371877891,3.57458371877891,0,,,
ACCO-US,2022-12-31,141.6,3.44982100975188,3.44982100975188,0,,,
ACCP-US,2015-12-31,1.211385,,-0.172848002452145,0,,,
ACCP-US,2016-12-31,0.249256,,-0.0230002133322339,0,,,
ACCP-US,2017-12-31,0.276744,,-0.00398536613069977,0,,,
ACCP-US,2018-12-31,0.0,,-0.00248302594595848,0,,,
ACDC-US,2020-12-31,,,,0,,,
ACDC-US,2021-12-31,76.081,5.35335236965067,5.35335236965067,0,,,
ACDC-US,2022-12-31,115.4,,-2.4770750654395,0,,,
ACDI-US,2021-12-31,0.119732,1.10381639149169,1.10381639149169,0,,,
ACDO-US,2001-06-30,7.168,1.52901622878892,1.52901622878892,0,,,
ACDO-US,2002-06-30,31.369,1.96331843058333,1.96331843058333,0,,,
ACDO-US,2003-06-30,19.518,1.78421830749666,1.78421830749666,0,,,
ACDO-US,2004-06-30,22.625,1.65826664650972,1.65826664650972,0,,,
ACEL-US,2019-12-31,8.442,5.95518269511839,5.95518269511839,0,,,
