,CPI,Unemployment Rate,GDP
1987-10-01,0.0026155187445509043,6.0,0.025271288786798296
1987-11-01,0.003478260869565375,5.8,
1987-12-01,0.0017331022530329143,5.7,
1988-01-01,0.0034602076124568004,5.7,0.013054728100712731
1988-02-01,0.0017241379310344307,5.7,
1988-03-01,0.002581755593803692,5.7,
1988-04-01,0.006008583690987113,5.4,0.022995356934204736
1988-05-01,0.0025597269624573205,5.6,
1988-06-01,0.004255319148936065,5.4,
1988-07-01,0.004237288135593209,5.4,0.017880222796142542
1988-08-01,0.00421940928270037,5.6,
1988-09-01,0.004201680672268893,5.4,
1988-10-01,0.0033472803347280866,5.4,0.022085490082503156
1988-11-01,0.0033361134278564464,5.3,
1988-12-01,0.0033250207813799726,5.3,
1989-01-01,0.0041425020712511085,5.4,0.020695215064925332
1989-02-01,0.0033003300330032292,5.2,
1989-03-01,0.00493421052631593,5.0,
1989-04-01,0.0073649754500817455,5.2,0.018364244936677654
1989-05-01,0.004874086108854758,5.2,
1989-06-01,0.003233629749393563,5.3,
1989-07-01,0.003223207091055613,5.2,0.014771055060853078
1989-08-01,0.0,5.2,
1989-09-01,0.002409638554216942,5.3,
1989-10-01,0.004807692307692291,5.3,0.009107756921637122
1989-11-01,0.003987240829345984,5.4,
1989-12-01,0.003177124702144596,5.4,
1990-01-01,0.009501187648456089,5.4,0.021830316028380148
1990-02-01,0.0039215686274509665,5.3,
1990-03-01,0.004687499999999956,5.2,
1990-04-01,0.002332814930015692,5.4,0.014869989124254746
1990-05-01,0.0015515903801395226,5.4,
1990-06-01,0.006196746707978429,5.2,
1990-07-01,0.004618937644341736,5.5,0.009242909597068971
1990-08-01,0.008429118773946254,5.7,
1990-09-01,0.006838905775075954,5.9,
1990-10-01,0.006792452830188811,5.9,-0.0017261512496183906
1990-11-01,0.002248875562218755,6.2,
1990-12-01,0.0037397157816005944,6.3,
1991-01-01,0.0037257824143070994,6.4,0.005070167149813232
1991-02-01,0.0007423904974017681,6.6,
1991-03-01,0.0,6.8,
1991-04-01,0.002225519287833766,6.7,0.015191598325683175
1991-05-01,0.0037009622501851247,6.9,
1991-06-01,0.002949852507374784,6.9,
1991-07-01,0.0014705882352941124,6.8,0.012906280572338558
1991-08-01,0.002936857562408246,6.9,
1991-09-01,0.002928257686676483,6.9,
1991-10-01,0.0014598540145984717,7.0,0.009443054288176045
1991-11-01,0.004373177842565745,7.0,
1991-12-01,0.002902757619738683,7.3,
1992-01-01,0.0007235890014474222,7.3,0.01573331800898381
1992-02-01,0.002169197396963085,7.4,
1992-03-01,0.003607503607503615,7.4,
1992-04-01,0.0021567217828901697,7.4,0.016919577903984573
1992-05-01,0.002152080344332674,7.6,
1992-06-01,0.0028632784538296097,7.8,
1992-07-01,0.002855103497501732,7.7,0.014817108894267905
1992-08-01,0.002135231316725994,7.6,
1992-09-01,0.0021306818181816567,7.6,
1992-10-01,0.00425230333097093,7.3,0.017385144094218097
1992-11-01,0.0028228652081863093,7.4,
1992-12-01,0.0014074595355384467,7.4,
1993-01-01,0.0035137034434293835,7.3,0.0072829568541386
1993-02-01,0.0021008403361342243,7.1,
1993-03-01,0.0013976240391335715,7.0,
1993-04-01,0.0034891835310537633,7.1,0.011810756258415545
1993-05-01,0.0027816411682890507,7.1,
1993-06-01,0.0006934812760057696,7.0,
1993-07-01,0.001386001386001201,6.9,0.010744552124787754
